Authorization Number,Authorization Type,Company,Issue Date,Expiry Date,Waste Type,State,Primary BCENICID,Secondary BCENICID,CPIX,Risk Level,WDR Regulation,WDR Schedule One or Two,Regional Case Manager,Office,Administrative Area,Regional District,Region,Nearest Municipality,Facility Type - Description,Facility Address,Facility Operator,Facility Operator Phone,Facility Operator Email,Latitude,Longitude,Legal Land Description,Mailing Address
71,Permit,THE CORPORATION OF THE VILLAGE OF MONTROSE ,6/10/1963,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Hamelin, Trevor",Nelson,Southern Interior,Kootenay Boundary,Authorizations - South Region,Montrose,Municipal Sewage Treatment facility  ,"Driveway access for facility located on 8th Avenue at 7th Street, in Montrose BC","Bryan Teasdale, CAO",(250) 367-6580,cao@montrose.ca,49.0776,117.5854,"unsubdivided South portion of Sublot 36, Kootenay District, Plan X-66","P.O. BOX 510 MONTROSE, BC V0G 1P0"
73,Permit,CITY OF POWELL RIVER ,6/24/1963,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Cavadini, Roger",Surrey,Southern Interior,,Authorizations - South Region,Powell River,"Muncipal waste water treatment plant  Rotating drum screen, secondary water water treatment with membrane filtration, UV disinfection and submerged outfall","6910 Duncan  Street, Powell River BC  V8A 1V4",City of Powell River,() -,,49.8383,124.5319,"Lot 3, Blocks 6 & 7, Plan 6825; Lot 8, Block 9, Plan 5096; Lot 1, Block 9, Plan 7075; all of District Lot 5307, and Lots D & E, Water Lot 5914, NWD.","6910 Duncan Street, Powell River BC  V8A 1V4"
76,Permit,CANFOR PULP LTD. ,9/23/1965,,Effluent,Active,322110  Forest Sector - Pulp Mills,  ,L,,Schedule 1,Pulp Industry,"Auger, Chelsey",Williams Lake,Northern,Fraser-Fort George,Authorizations - North Region,Prince George,"Sanitary lagoons  Two sanitary lagoons serving two pulp mills, one paper mill and a chemical plant","2533 - 2789 Prince George Pulpmill RD , Prince George, BC V2N 2K3",Joel Fowler,() -,Joel.Fowler@canforpulp.com,53.924098,122.694991,"District Lot 2061, 2062 and 2063 all in the Cariboo District","100 - 1700 West 75th Ave, Vancouver BC  V6P 6G2"
80,Permit,THE CITY OF CASTLEGAR ,1/1/1965,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Beckett, Matthew",Nelson,Southern Interior,,Authorizations - South Region,Castlegar,N/A  ,"100 Old Mill Road, Castlegar BC  V1N 4T7",Jesse Reel,(250) 365-5979,jreel@castlegar.ca,49.3319,117.6602,"Parcel B (DD 12274 - I) of Lot 237 Kootenay District, Nelson-Slocan Assessment District","460 COLUMBIA Avenue, CASTLEGAR BC  V1N 1G7"
82,Permit,DISTRICT OF NORTH COWICHAN ,2/3/1966,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Clark, Sacha",Nanaimo,Southern Interior,Cowichan Valley ,Authorizations - South Region,Crofton,"Extended Aeration Municipal Sewage System  secondary sewage treatment plant, an outfall extending 230 m from mean low water to a depth of 11.6 m below mean low water, ","1575 Chaplin Street, Crofton BC  V0R1R0",Clay Reitsma,(250) 746-3159,Clay.Reitsma@northcowichan.ca,48.8669,123.638,"Plan 64217 RW over Lot 1, Plan 4257, Chemainus District.","BOX 278 DUNCAN, BC V9L 3X4"
91,Municipal Wastewater Regulation,THE CORPORATION OF THE VILLAGE OF LYTTON ,8/19/2002,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Vergamini, Don",Kamloops,Southern Interior,,Authorizations - South Region,Lytton,  ,LYTTON,Unknown,,,50.2289,121.5825,LYTTON,"P.O. BOX 100 LYTTON, BC V0K 1Z0"
92,Municipal Wastewater Regulation,"LILLOOET, VILLAGE OF ",8/19/2002,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Pape, Jennifer",Surrey,Southern Interior,,Authorizations - South Region,Lillooet,  ,LILLOOET,Rory Card- Director of Public Works and Utilities,4289,rcard@lillooet.ca,50.694,121.925,LILLOOET,"BOX 610 LILLOOET, BC V0K 1V0"
96,Permit,NANAIMO FOREST PRODUCTS LTD. ,6/30/1964,,Effluent,Active,325100  Manufacturing - Chemical,  ,M,,Schedule 1,Chemical and Chemical Products Industry,"Thornton, Kimberley",Victoria, ,Nanaimo ,Authorizations - South Region,Nanaimo,Sodium Chlorate Facility  Sodium Chlorate Facility,NANAIMO-DUKE POINT,Nanaimo Forest Products Ltd..,(250) 722-4267,info@harmacpacific.com,49.14,123.864,NANAIMO-DUKE POINT,"1000 Wave Place, Nanaimo BC  V9X 1J2"
101,Permit,VILLAGE OF SAYWARD ,10/14/1964,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Berube, Conrad",Nanaimo,Southern Interior,,Authorizations - South Region,Sayward,"Municipal Wastewater Treatment System  a lagoon, a 1400 m long outfall with diffuser extending to a depth of 13 m below mean low water, ","Salmon River Main Line, Sayward, British Columbia",Tony Leggat,(250) 282-5509,publicworks@saywardvalley.net,50.383297,125.958814,"District Lot 379, Land District 51, Lease 26770","PO BOX 29 652 H'Kusam Way, Sayward BC  V0P1R0"
108,Permit,SMURFIT-MBI ,11/24/1965,,Effluent,Cancelled,322120  Forest Sector - Paper / PaperBoard Mills,  ,L,,Schedule 1,Paper Industry,"McCullough, Sarah",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,New Westminster,Corrugated Cardboard Container Plant  ,"NEW WESTMINSTER, FOOT OF GIFFORD STREET",Unknown,() -,122.95497,49.188912,122.955573,"NEW WESTMINSTER, FOOT OF GIFFORD STREET","FOOT OF GIFFORD STREET P.O. BOX 60 NEW WESTMINSTER, BC V3L 4Y2"
114,Permit,"CATALYST PAPER CORPORATION AND CATALYST PULP OPERATIONS LIMITED DOING BUSINESS AS CATALYST PAPER, GENERAL PARTNERSHIP ",3/3/1965,,Effluent,Active,322110  Forest Sector - Pulp Mills,  ,H,,Schedule 1,Pulp Industry,"Wheating, Graham",Nanaimo,Southern Interior,Cowichan Valley ,Authorizations - South Region,Nanaimo,pulp & paper mill  pulp & paper mill,"8541 Hay Road, Crofton BC  V0R 1R0","Catalyst Paper, Crofton Division",(250) 246-6100,,48.87,123.66,"Chemainus District and Municipality of North Cowichan Parcel D (DD105460-1) of Sections 5 & 6; Range 10, Lot 1 of Sections 4 & 5; Range 10, Plan 8971, Lot 5 of Section 4; Range 10, Composite Plan 3198 except Plans 8791 and 484 BL, Lot 104, Lots 475, 407, and 506 and Plan 974 Cowichan Land District and portion of Range 9, Section 3 and Section 4","8541 Hay Road, PO BOX 70, Crofton BC  V0R 1R0"
115,Permit,"MERRITT, CITY OF ",3/12/1965,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Bruce, Erin",Kamloops,Southern Interior,Thompson-Nicola,Authorizations - South Region,Merritt,"Sewage Treatment   Activated sludge secondary treatment plant with phosphorus reduction facilities, mechanical sludge dewatering equipment, settling basin and rapid infiltration basins","1298 Coldwater Avenue, Merritt BC  V1K 1K6",Darrell Finnigan,() -,dfinnigan@merritt.ca,50.1144,120.8014,"Lots 5 and 6, Block 12, Plan 1219, West of the Sixth Meridian, Kamloops Division Yale District","P.O. BOX 189 MERRITT, BC V1K 1B8"
116,Municipal Wastewater Regulation,"HARRISON HOT SPRINGS, THE CORP. OF THE VILLAGE OF ",4/2/2004,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Clark, Sacha",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Harrison Hot Springs,  ,HARRISON HOT SPRINGS,Unknown,,,49.307501,121.796944,HARRISON HOT SPRINGS,"BOX 160 495 HOT SPRINGS RD HARRISON HOT SPRINGS, BC V0M 1K0"
118,Permit,CITY OF POWELL RIVER ,3/12/1965,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Cavadini, Roger",Surrey,Southern Interior,,Authorizations - South Region,Powell River,Municipal waste water treatment plant  aerated stabilization lagoon and submerged outfall,"6910  Duncan  Street, Powell River BC  V8A 1V4",City of Powell River,() -,,49.8819,124.5853,"Lot A of Block 56, DL 450, Group 1, NWD, Plan 12767","6910 Duncan Street, Powell River BC  V8A 1V4"
120,Permit,TOWN OF LADYSMITH ,3/12/1965,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Pape, Jennifer",Nanaimo,Southern Interior,Cowichan Valley ,Authorizations - South Region,Ladysmith,Municipal Sewage System  ,"245 A Oyster Cove Road, Ladysmith BC  V9G 1T6",Curtis Baker,(250) 616-6329,cbaker@ladysmith.ca,48.9838,123.794,LADYSMITH,"BOX 220 LADYSMITH, BC V9G 1A2"
133,Permit,THE CORPORATION OF THE VILLAGE OF FRUITVALE ,6/22/1965,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"D`Souza, Roshan",Nelson,Southern Interior,Kootenay Boundary,Authorizations - South Region,Fruitvale,Lagoon Treatment System   ,"Fruitvale Public Works, 1840 Hwy 3B, Fruitvale BC","Jason Startup, Foreman",(250) 367-6162,fruitvalepublicworks@telus.net,49.110308,117.550308,"Block 1, Plan 4238, District Lot 1236, Kootenay District","1947 BEAVER STREET PO BOX 370 FRUITVALE, BC V0G 1L0"
137,Permit,THE CORPORATION OF THE DISTRICT OF KENT ,9/3/1965,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Vroom, Bryan",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Kent,Municipal Sewerage System  ,"1088 Tranmer  Road, Agassiz BC  V0M 1A2",Steve Nuttall     Cel 604-997-6838,(604) 796-9145,snuttall@district.kent.bc.ca,49.223743,121.743885,"Parcel M, Sketch 4984, District Lot 38, Group 1, Range 28, Township 3, Y.D.Y.D, except Plan 14190","BOX 70 7170 CHEAM AVE AGASSIZ, BC V0M 1A0"
138,Permit,SQUAMISH CORNERSTONE DEVELOPMENTS LTD. NEWPORT BEACH DEVELOPMENTS LIMITED PARTNERSHIP,9/3/1965,,Effluent,Active,531300  Administration - Private,562910  Waste Treatment - Remediation,L,,Schedule 1,Contaminated Site Contaminant Management,"Kootnikoff, Milen",Surrey,Land Remediation,Squamish-Lillooet,Authorizations - South Region,Squamish,Groundwater treatment plant  Groundwater treatment plant,"37321 Galbraith Road, PO BOX 468, Squamish BC  V8B 0A4","Kevin Ramsay, Chief Administration Officer",(604) 892-5217,kramsay@squamish.ca,49.687477,123.162532,LOT 4 DISTRICT LOTS 4618 AND 4271 GROUP 1 NEW WESTMINSTER DISTRICT PLAN EPP51921,"401 - 37989 Cleveland Avenue, Squamish BC V8B 0A7"
141,Permit,SELKIRK COLLEGE ,10/7/1965,,Effluent,Active,611000  Administration - Educational,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"D`Souza, Roshan",Nelson,Southern Interior,,Authorizations - South Region,Castlegar,na  ,"301 Frank Beinder Way, Castlegar BC  V1N 4L3",Ron Zaitsoff,(250) 365-1212,rzaitsoff@selkirk.ca,49.3132,117.654,"Lot  10, Block  1, Sublot 5, Kootenay District","301 Frank Beinder Way, Castlegar, BC, V1N 4L3"
142,Permit,DISTRICT OF NORTH COWICHAN ,10/7/1965,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Clark, Sacha",Nanaimo,Southern Interior,Cowichan Valley ,Authorizations - South Region,Chemainus,Municipal Swerage System  ,CHEMAINUS,James Robinson,(250) 701-5117,james.robinson@northcowichan.ca,48.9299,123.715,CHEMAINUS,"BOX 278 DUNCAN, BC V9L 3X4"
146,Permit,CITY OF PRINCE GEORGE ,11/9/1963,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,H,,Schedule 1,Municipal Sewage Management,"Reeves, Michelle",Prince George,Northern,,Authorizations - North Region,Prince George,N/A  ,LANSDOWNE STP,Unknown,() -,,53.8795,122.7653,"Lots 2 and 3, Plan 9022; Lot 1, Plan 9511; Lot 1, Plan 7027 and Lot 1, Plan 10565 within District Lot 753, Cariboo Land District","Supervisor, Wastewater Collection and Facilities, Utilities Division, 1100 Patricia Blv, Prince George BC V2L 3V9"
148,Permit,CITY OF KIMBERLEY ,12/9/1965,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Vroom, Bryan",Cranbrook,Southern Interior,East Kootenay ,Authorizations - South Region,Kimberley,"tertiary  aeration tanks, clarifier, chlorine disinfections, sludge drying beds and river discharge.  Biosolids are composted on site. ",Kimberley,Rob Cowan,(250) 427-2513,rcowan@city.kimberley.ca,49.6305,115.9665,"City of Kimberley within Parcel A of Plan 7265, District Lot 2379 and 2378, Kootenay District","340 SPOKANE ST KIMBERLEY, BC V1A 2E8"
153,Permit,"CATALYST PAPER CORPORATION AND CATALYST PULP OPERATIONS LIMITED DOING BUSINESS AS CATALYST PAPER, GENERAL PARTNERSHIP ",4/6/1966,,Effluent,Active,322110  Forest Sector - Pulp Mills,  ,H,,Schedule 1,Paper Industry,"Soufan, Safwan",Nanaimo,Southern Interior,qathet,Authorizations - South Region,Powell River,Pulp and paper mill  pulp and paper mill,"5775 Ash Avenue, Powell River BC  V8A 4R3",Fred Chinn,(604) 483-2715,fred.chinn@catalystpaper.com,49.875084,124.556865,"L3088 (PID 015-890-333), L7212 (PID 004-781-821), L7213 (PID 004-781-856), L6071, Water L 6174, L6237A, L5922, L5923, L5924, L4071, L4072, L3437 (PID 015-875-121), L3090 (PID 015-890-325), L3091 (PID 015-890-317), Lot A2, Ref. Plan 490, DL 3091 (PID 015-890-309), Part of Block 43 (PID 002-554-682), Block 44 (PID 010-264-469), and Block 46 (PID 002-560-194) of DL 450, Plan 8096, New Westminster District.","5775 Ash Avenue, Powell River BC  V8A 4R3"
157,Permit,CANFOR PULP LTD. ,6/6/1966,,Effluent,Active,322110  Forest Sector - Pulp Mills,  ,H,,Schedule 1,Pulp Industry,"Bailey, Neil",Prince George,Northern,Fraser-Fort George,Authorizations - North Region,Prince George,Pulp Mill  Pulp Mill,"5353 Northwood Pulpmill Road, Prince George BC  V2L 4W2",Unknown,() -,,53.978594,122.693843,"D.L. 817 and D.L. 824 Cariboo District, Prince George British Columbia","5353 Northwood Pulp Mill Rd, Post Office Box 9000, Prince George BC  V2L 4W2"
161,Permit,BEKAERT CANADA LTD. ,8/23/1966,,Effluent,Cancelled,300000  Manufacturing - Miscellaneous,562230  Solid Waste Management,L,,N/A,,"McCullough, Sarah",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Surrey,metal finishing plant  ,"11041  Elevator  Road, Surrey BC  V3V 2R8",Jesus Ojeda (Cel: 604 307-9343),(604) 581-5441,,49.180385,122.914803,PARCEL IDENTIFIER: 023-512-547 LOT 4  SECTION 34  BLOCK 5  NORTH RANGE 3 WEST  NEW WESTMINSTER DISTRICT  PLAN LMP29318,"11041 Elevator Road, Surrey BC  V3V 2R8"
170,Permit,VILLAGE OF CLINTON ,12/13/1966,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Waters, Neale",Kamloops,Southern Interior,Thompson-Nicola,Authorizations - South Region,Clinton,WASTE DISPOSAL OPERATIONS  lagoon system,"Lot 1, Plan No. 18187",Karl Hansen,(250) 459-2261,,51.0936,121.5708,"Lot 1, Plan No. 18187","BOX 309 CLINTON, BC V0K 1K0"
171,Permit,CITY OF POWELL RIVER ,1/10/1967,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,M,,Schedule 1,Municipal Sewage Management,"Webster, Cam",Surrey,Southern Interior,qathet,Authorizations - South Region,Powell River,Municipal Waste Water Treatment Plant  Municipal Waste Water Treatment Plant,"Townsite Waste Water Treatment Plant, 5401 Larch Avenue, Powell River BC",Don Madden,(604) 485-2483,wwtp@cdpr.bc.ca,49.8612,124.5476,Lot 2 District Lot 450 New West District Group Plan 1 BCP23888,"6910 Duncan Street, Powell River BC  V8A 1V4"
173,Permit,"LUMBY, VILLAGE OF ",3/13/1967,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Vroom, Bryan",Nanaimo,Southern Interior,North Okanagan,Authorizations - South Region,Penticton,Sewage Treatment Plant  secondary treatment STP,"PO Box 430, Lumby BC  V0E 2G0",Roger Huston,(250) 547-2171,Roger Huston <rogerh@lumby.ca>,50.255,118.9583,"part of Lot 1, District Lot 409, Plan 22154, O.D.Y.D.","BOX 430 LUMBY, BC V0E 2G0"
174,Permit,BRITISH COLUMBIA HYDRO AND POWER AUTHORITY ,4/21/1967,,Effluent,Active,221100  Electric Power Generation and Transmission ,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Beckett, Matthew",Nelson,Southern Interior,,Authorizations - South Region,Nelson,Sewage Treatment Lagoons  sewage treatment lagoons,FAUQUIER,Dave Mang,(250) 265-2113,admang@telus.net,49.8723,118.0803,"Block 2 of Lot 2591 Kootenay District, Fauquier, British Columbia","Attention: SGN Plants, 6500 Westside Road, V1 Floor, Bag 5700, Revelstoke, BC, V0E 2S0"
182,Permit,CIPA LUMBER CO. LTD. ,3/21/1967,,Effluent,Active,321200  Forest Sector - Veneer / Plywood Manufacturing,  ,L,,Schedule 1,Veneer and Plywood Industry,"Vroom, Bryan",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Delta,Plywood Mill  ,"DELTA, ANNACIS ISLAND, 797 CARLISLE ROAD",Shelly Chen,(604) 523-2250,schen@cipalumber.com,49.176191,122.944479,"DELTA, ANNACIS ISLAND, 797 CARLISLE ROAD","DELTA PANEL DIVISION 797 CARLISLE ROAD DELTA, BC V3M 5P4"
183,Permit,MINISTRY OF LABOUR AND CITIZENS' SERVICES ,5/1/1967,9/21/2011,Effluent,Cancelled,912000  Administration - Provincial & Territorial,  ,L,,N/A,,"Bosa, Sisto",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Maple Ridge,Sewerage System  ,"MAPLE RIDGE, ALOUETTE RIVER CORRECTIONAL CENTRE",Unknown,() -,,49.247855,122.530121,"MAPLE RIDGE, ALOUETTE RIVER CORRECTIONAL CENTRE","4TH FLOOR, 3350 DOUGLAS STREET VICTORIA, BC V8Z 3L1"
188,Permit,SKOOKUMCHUCK PULP INC. ,6/26/1967,,Effluent,Active,322110  Forest Sector - Pulp Mills,562220  Sewage Treatment,L,,Schedule 1,Pulp Industry,"McCandlish, Brad",Cranbrook,Southern Interior,East Kootenay ,Authorizations - South Region,Nelson,Waste disposal  Waste disposal,"4501 Farstad Way, Skookumchuck BC  V0B 2E0",Brian Stevenson,(250) 442-3983,BStevenson@skkpulp.com,49.9169,115.7647,"Lot 6021, Plan 17885 SKOOKUMCHUCK","95 - 10551 Shellbridge Way, Richmond BC V6X 2W8"
189,Permit,TECK METALS LTD. ,7/10/1967,,Effluent,Active,212200  Mining - Metal,  ,H,,Schedule 1,Mining and Coal Mining Industry,"Tam, Jordan",Cranbrook,Mining Operations,East Kootenay ,Authorizations - South Region,Kimberley,Inactive Base Metals Mine and Concentrator  closed mine,"601 Knighton Road, Kimberly  BC  V1A 1C7",Michelle Unger,(250) 427-8422,michelle.unger@teck.com,49.654647,115.94416,"District Lot 11310, 11305, 10880, 11615, 11614, 7224, 11613, 11612, 11611, _x000D_
11610, 10367,6626,11617,11616,12946,7007,7224,12434,4688, _x000D_
2043, 9828, 12525, 2999, and 3069, Kootenay District. _x000D_
","Bag 2000, Kimberley BC  V1A 3E1"
189,Permit,TECK METALS LTD. ,7/10/1967,,Refuse,Active,212200  Mining - Metal,  ,H,,Schedule 1,Mining and Coal Mining Industry,"Tam, Jordan",Cranbrook,Mining Operations,East Kootenay ,Authorizations - South Region,Kimberley,Inactive Base Metals Mine and Concentrator  closed mine,"601 Knighton Road, Kimberly  BC  V1A 1C7",Michelle Unger,(250) 427-8422,michelle.unger@teck.com,49.654647,115.94416,"District Lot 11310, 11305, 10880, 11615, 11614, 7224, 11613, 11612, 11611, _x000D_
11610, 10367,6626,11617,11616,12946,7007,7224,12434,4688, _x000D_
2043, 9828, 12525, 2999, and 3069, Kootenay District. _x000D_
","Bag 2000, Kimberley BC  V1A 3E1"
