Job Type,Tracking Number,Authorization Number,Job Status,SAP Phase,Received Date,Created Date,Completed Date,Authorization Type,Administrative Area,Amendment Type,Latitude,Longitude,Application Type,Transaction Type,Complexity,Intake,Preliminary Application,Applicant Work Window,In Screening,Review and Decision,Processing,Days in Process,Withdrawn Date
Registration Amendment,355017,105824,Completed,,2016-11-16,2016-11-22 8:20,2016-11-22 9:26,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,Minor,56.7882,121.8665,Transfer,EM General,Simple,,,,,,,6,
New Registration,355021,108660,Completed,,2016-11-17,2016-11-22 9:43,2016-12-21 15:21,Petroleum Storage and Distribution Facilities Storm Water Regulation,Mining Team,,55.3905,121.832,,Express,Simple,5.4,,,,,21,26,
Auth Cancel Susp and Aband App,355024,15643,Approved,,2016-11-22 10:21,2016-11-22 10:21,2018-01-04,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,407.6,
Auth Cancel Susp and Aband App,355025,15644,Approved,,2016-11-22 10:30,2016-11-22 10:30,2018-01-04,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,407.6,
New Registration,355029,108662,Completed,,2016-11-21,2016-11-22 11:57,2017-02-28 14:24,Organic Matter Recycling Regulation,Express Transactions,,49.23968,121.787167,,Express,Simple,77,76,,,22.1,,94,
New Registration,355030,108663,Completed,,2016-11-21,2016-11-22 13:24,2017-03-01 13:44,Organic Matter Recycling Regulation,Authorizations - South Region,,49.155631,122.472914,,Express,Medium,78,76.8,,,22.2,,94,
New Registration,355032,108664,Completed,,2016-11-22,2016-11-22 14:10,2017-01-12 14:59,Hazardous Waste Regulation,Authorizations - South Region,,50.311922,122.72936,,Routine,Medium,0.6,0.1,0,0,48,,48,
Authorization Amendment,355070,5172,Approved,,2016-11-24,2016-11-24 8:12,2017-06-08 10:34,Permit,Authorizations - South Region,Minor,50.8389,118.9586,Internal Amendment,EM General,Medium,,,,,,,195,
De-Registration,355087,107444,Completed,,2016-11-25 8:52,2016-11-25 8:52,2017-04-19 15:20,Code of Practice for Concrete and Concrete Products,Express Transactions,,,,,Express,Simple,0,,,,,76.1,145.3,
Authorization Amendment,355090,100138,Approved,,2016-11-21,2016-11-25 9:30,2017-05-09 10:51,Permit,Authorizations - North Region,Minor,54.01433,128.701647,,Routine,Medium,4,7.2,0,0,154,,165,
Authorization Amendment,355102,6611,Approved,,2016-11-25,2016-11-25 13:49,2017-02-21 11:21,Permit,Authorizations - South Region,Minor,50.8,120.3128,Internal Amendment,EM General,Medium,,,,,,,83,
Authorization Amendment,355107,8059,Approved,,2016-11-24,2016-11-25 15:50,2018-03-08 15:46,Permit,Authorizations - South Region,Minor,51.2847,116.9561,,Routine,Medium,1,160,6.7,0.2,300.7,,469,
Authorization Amendment,355108,6657,Approved,,2016-11-25,2016-11-25 15:53,2017-02-21 11:44,Permit,Authorizations - South Region,Minor,49.189256,122.416717,Internal Amendment,EM General,Medium,,,,,,,83,
Authorization Amendment,355109,5301,Approved,,2016-11-25,2016-11-25 15:58,2017-03-29 10:08,Permit,Authorizations - South Region,Minor,49.4789,123.3492,Internal Amendment,EM General,Medium,,,,,,,119,
Authorization Amendment,355110,4186,Approved,,2016-11-25,2016-11-25 16:00,2017-02-21 11:29,Permit,Authorizations - South Region,Minor,49.5964,124.0203,Internal Amendment,EM General,Medium,,,,,,,83,
Authorization Amendment,355112,424,Approved,,2016-11-10,2016-11-25 16:34,2016-12-20 15:08,Permit,Mining Team,Minor,50.189934,114.8785402,Internal Amendment,EM General,Medium,,,,,,,26,
New Registration,355221,108671,Completed,,2016-11-25,2016-11-28 9:48,2017-03-01 15:31,Organic Matter Recycling Regulation,Authorizations - South Region,,49.74923,125.04877,,Express,Medium,74,71,,,22.2,,90,
New Registration,355223,108672,Completed,,2016-11-23,2016-11-28 10:09,2016-12-13 10:41,Oil & Gas Waste Regulation (Well Test),Express Transactions,,55.43125,120.403125,,Express,Simple,5,0,,,15,,20,
Authorization Amendment,355225,11896,Approved,,2016-11-28,2016-11-28 11:11,2017-02-21 10:46,Permit,Authorizations - South Region,Minor,51.076,119.7903,Internal Amendment,EM General,Medium,,,,,,,80,
Authorization Amendment,355226,1517,Approved,,2016-11-24,2016-11-28 11:24,2017-07-07 15:44,Permit,Authorizations - South Region,Minor,50.6861,120.4037,,Routine,Medium,4,143,0,1.1,77,,225,
Registration Amendment,355229,107877,Completed,,2016-11-28,2016-11-28 13:13,2017-01-04 15:59,Asphalt Plant Regulation,Express Transactions,Minor,49.022248,122.415178,,Express,Simple,0.6,,,,,24.8,25,
New Registration,355230,108677,Completed,,2016-11-28,2016-11-28 14:25,2016-12-14 15:44,Organic Matter Recycling Regulation,Authorizations - North Region,,55.748479,120.198655,,Express,Medium,1,1.1,,,15,,4,
Authorization Amendment,355246,11678,Approved,,2016-10-28,2016-11-29 10:35,2017-04-13 9:06,Permit,Mining Team,Major,52.54502,121.632691,,Routine,Complex,32,58,0.8,3.2,66.9,,161,
Auth Cancel Susp and Aband App,355251,1671,Approved,,2016-11-29 11:51,2016-11-29 11:51,2017-02-20,Permit,Authorizations - South Region,,,,Cancel,EM General,Medium,,,,,,,82.5,
Authorization Amendment,355259,13930,Approved,,2016-11-29,2016-11-29 14:09,2017-03-23 10:30,Permit,Authorizations - South Region,Minor,50.6553,120.4407,Internal Amendment,EM General,Medium,,,,,,,108,
New Registration,355266,108681,Completed,,2016-11-28,2016-11-29 15:45,2016-12-16 15:41,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,,49.898337,119.485529,,Express,Simple,1.7,,,,,17,18,
Authorization Amendment,355276,13672,Approved,,2016-11-30,2016-11-30 10:20,2017-05-31 15:45,Permit,Authorizations - South Region,Minor,50.8361,119.3525,Internal Amendment,EM General,Medium,,,,,,,182,
New Registration,355300,108684,Completed,,2016-12-01,2016-12-01 8:47,2017-01-19 14:49,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,,56.06703,122.10462,,Express,Simple,0,0,,,39.2,,39,
Registration Amendment,355302,100413,Completed,,2016-11-30,2016-12-01 9:51,2017-05-02 14:50,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,Minor,49.21115,122.8826,Name Change,EM General,Simple,,,,,,,146,
Registration Amendment,355304,100462,Completed,,2016-11-30,2016-12-01 10:40,2017-05-02 15:01,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,Minor,49.03841,123.8633,Name Change,EM General,Simple,,,,,,,147,
Registration Amendment,355305,100327,Completed,,2016-11-30,2016-12-01 10:49,2017-05-02 14:00,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,Minor,48.437143,123.376848,,Express,Simple,1.5,,,,,145.1,146,
Registration Amendment,355307,100329,Completed,,2016-11-30,2016-12-01 10:55,2017-05-02 14:34,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,Minor,50.0825,125.3136,Name Change,EM General,Simple,,,,,,,146,
Authorization Amendment,355309,15648,Approved,,2016-12-01,2016-12-01 13:46,2017-03-29 13:57,Permit,Authorizations - South Region,Minor,50.859486,122.851522,Internal Amendment,EM General,Medium,,,,,,,113,
New Registration,355338,108688,Completed,,2016-12-02,2016-12-02 13:41,2017-02-28 13:55,Organic Matter Recycling Regulation,Authorizations - South Region,,50.34604,120.797262,,Express,Medium,67,66.8,,,21.2,,83,
Authorization Amendment,355403,105149,Approved,,2016-12-01,2016-12-06 9:41,2017-07-05 14:43,Permit,Mining Team,Minor,51.00777,120.4463,,Routine,Medium,5,48,0,10.3,132.9,,211,
Authorization Amendment,355415,115,Approved,,2016-12-06,2016-12-06 15:20,2017-05-31 15:50,Permit,Authorizations - South Region,Minor,50.1144,120.8014,Internal Amendment,EM General,Medium,,,,,,,176,
Authorization Amendment,355432,11169,Approved,,2016-12-07,2016-12-07 11:44,2017-03-08 14:35,Permit,Authorizations - South Region,Minor,51.2506,119.8494,Internal Amendment,EM General,Medium,,,,,,,89,
Authorization Amendment,355433,8305,Approved,,2016-12-07,2016-12-07 11:46,2017-03-29 10:42,Permit,Authorizations - South Region,Minor,50.4872,120.4964,Internal Amendment,EM General,Medium,,,,,,,107,
Auth Cancel Susp and Aband App,355472,12810,Approved,,2016-12-09 11:15,2016-12-09 11:15,2017-02-24,Operational Certificate,Authorizations - North Region,,,,Cancel,EM General,Simple,,,,,,,76.5,
Authorization Amendment,355475,288,Approved,,2016-12-09,2016-12-09 13:34,2017-02-21 13:12,Permit,Authorizations - North Region,Minor,54.063511,124.5664,Internal Amendment,EM General,Medium,,,,,,,73,
Authorization Amendment,355477,13044,Approved,,2016-12-09,2016-12-09 14:55,2017-03-22 15:35,Permit,Authorizations - South Region,Minor,50.7253,120.0329,Internal Amendment,EM General,Medium,,,,,,,97,
Authorization Amendment,355504,411,Approved,,2016-12-12,2016-12-12 9:14,2017-02-21 15:04,Permit,Authorizations - North Region,Minor,56.0306,121.9039,Internal Amendment,EM General,Medium,,,,,,,70,
Authorization Amendment,355509,8003,Approved,,2016-12-08,2016-12-12 12:58,2017-05-09 11:25,Permit,Authorizations - South Region,Minor,49.15877,123.985384,,Routine,Medium,4,38,75,0.1,30.9,,148,
Authorization Amendment,355513,1512,Approved,,2016-12-12,2016-12-12 15:44,2017-10-12 14:04,Permit,Authorizations - South Region,Minor,49.7326,123.153,,Routine,Medium,0,209.9,0,0,87.8,,298,
Authorization Amendment,355514,1398,Approved,,2016-12-12,2016-12-12 16:03,2017-02-08 11:29,Permit,Authorizations - South Region,Minor,50.2302,119.0944,Internal Amendment,EM General,Medium,,,,,,,50,
Authorization Amendment,355540,2572,Approved,,2016-12-13,2016-12-13 12:59,2017-03-09 13:45,Permit,Authorizations - North Region,Minor,54.4078,124.2682,Internal Amendment,EM General,Medium,,,,,,,85,
Authorization Amendment,355558,4645,Approved,,2016-12-14,2016-12-14 12:38,2017-03-29 10:31,Permit,Authorizations - South Region,Minor,49.045123,122.675432,Internal Amendment,EM General,Medium,,,,,,,100,
Authorization Amendment,355559,6286,Approved,,2016-12-14,2016-12-14 12:40,2017-05-31 12:24,Permit,Authorizations - South Region,Minor,49.0786,123.1292,Internal Amendment,EM General,Medium,,,,,,,168,
Authorization Amendment,355560,5188,Approved,,2016-12-14,2016-12-14 12:43,2017-05-31 12:29,Permit,Authorizations - South Region,Minor,49.4489,123.2408,Internal Amendment,EM General,Medium,,,,,,,168,
New Registration,355565,108694,Completed,,2016-12-12,2016-12-14 13:55,2017-01-18 10:12,Code of Practice for Slaughter and Poultry Processing,Victoria Authorizations Team,,49.0778,122.066,,Express,Simple,2.6,,,,,33.8,36,
Authorization Amendment,355580,212,Approved,,2016-12-15,2016-12-15 10:01,2017-02-28 13:33,Permit,Authorizations - North Region,Minor,53.6519,122.9807,Internal Amendment,EM General,Medium,,,,,,,70,
Authorization Amendment,355590,6064,Approved,,2016-12-15,2016-12-15 14:20,2017-06-01 10:19,Permit,Authorizations - South Region,Minor,50.6551,120.0032,Internal Amendment,EM General,Medium,,,,,,,167,
Authorization Amendment,355593,7422,Approved,,2016-12-15,2016-12-15 15:54,2017-03-29 9:10,Permit,Authorizations - South Region,Minor,50.152403,121.028403,Internal Amendment,EM General,Medium,,,,,,,99,
Authorization Amendment,355594,7909,Approved,,2016-12-15,2016-12-15 16:07,2017-06-06 8:08,Permit,Authorizations - South Region,Minor,50.7876,119.2062,Internal Amendment,EM General,Medium,,,,,,,167,
Authorization Amendment,355595,100138,Approved,,2016-11-04,2016-12-15 16:30,2017-12-06 14:41,Permit,Authorizations - North Region,Major,54.013351,128.701585,Internal Amendment,EM General,Medium,,,,,,,397,
Authorization Amendment,355604,4277,Approved,,2016-12-16,2016-12-16 10:48,2017-02-21 15:48,Permit,Authorizations - North Region,Minor,58.7696,122.6747,Internal Amendment,EM General,Medium,,,,,,,66,
New Authorization,355607,108695,Approved,,2016-12-16,2016-12-16 13:43,2017-01-18 10:07,Approval,Oil & Gas Commission,,55.887721,120.080337,,Routine,Medium,0,0,0,0,3.8,,4,
Authorization Amendment,355642,14978,Approved,,2016-12-19,2016-12-19 11:23,2017-06-12 11:53,Permit,Mining Team,Minor,59.4833,134.2333,Internal Amendment,EM General,Medium,,,,,,,171,
Authorization Amendment,355660,17751,Approved,,2016-12-20,2016-12-20 9:34,2017-02-03 15:12,Permit,Authorizations - North Region,Minor,56.23,120.773,,Routine,Medium,0,21.1,0,0,17.1,,38,
Auth Cancel Susp and Aband App,355664,7478,Approved,,2016-12-20 11:28,2016-12-20 11:28,2019-01-24,Permit,Express Transactions,,,,Cancel,EM General,Simple,,,,,,,764.5,
New Registration,355675,108700,Completed,,2016-12-19,2016-12-20 15:47,2017-08-28 9:03,Municipal Wastewater Regulation,Authorizations - South Region,,49.0311,122.0139,,Routine,Medium,1.7,139.8,21.2,0,85.9,,248,
Authorization Amendment,355677,11274,Approved,,2016-12-20,2016-12-20 16:14,2017-06-05 12:11,Permit,Authorizations - South Region,Minor,50.8523,120.2872,Internal Amendment,EM General,Medium,,,,,,,162,
Authorization Amendment,355706,12170,Approved,,2016-12-21,2016-12-21 15:23,2017-06-05 10:15,Permit,Authorizations - South Region,Minor,51.26555,119.8183,Internal Amendment,EM General,Medium,,,,,,,161,
Authorization Amendment,355707,1902,Approved,,2016-12-16,2016-12-21 15:38,2017-09-25 9:12,Permit,Authorizations - South Region,Minor,48.8806888,123.6509166,,Routine,Medium,5,121,102.8,0.1,49,,278,
Authorization Amendment,355744,218,Approved,,2016-12-23,2016-12-23 7:58,2017-05-29 14:24,Permit,Authorizations - South Region,Minor,49.073887,122.676591,Internal Amendment,EM General,Medium,,,,,,,154,
Authorization Amendment,355747,1558,Approved,,2016-12-23,2016-12-23 8:40,2017-05-31 9:56,Permit,Authorizations - South Region,Minor,49.022202,122.699808,Internal Amendment,EM General,Medium,,,,,,,158,
Authorization Amendment,355749,8519,Approved,,2016-12-23,2016-12-23 9:53,2017-05-29 14:34,Permit,Authorizations - South Region,Minor,49.2011,122.6422,Internal Amendment,EM General,Medium,,,,,,,154,
Authorization Amendment,355751,6940,Approved,,2016-12-23,2016-12-23 10:02,2017-05-29 14:30,Permit,Authorizations - South Region,Minor,49.188441,121.740714,Internal Amendment,EM General,Medium,,,,,,,154,
Authorization Amendment,355752,3157,Approved,,2016-12-23,2016-12-23 10:34,2017-06-09 14:09,Permit,Authorizations - South Region,Minor,50.779305,122.820632,Internal Amendment,EM General,Medium,,,,,,,166,
New Registration,355852,108703,Completed,,2016-12-27,2016-12-28 11:18,2019-09-18 14:49,Hazardous Waste Regulation,Authorizations - South Region,,49.2582276,122.5077354,,Routine,Medium,1.5,127.1,679.9,4.9,181.2,,994,
Authorization Amendment,355900,5477,Approved,,2016-12-29,2016-12-29 14:00,2017-03-29 9:43,Permit,Authorizations - South Region,Minor,50.9518,119.285,Internal Amendment,EM General,Medium,,,,,,,85,
Authorization Amendment,356024,1836,Approved,,2017-01-03,2017-01-03 14:15,2017-02-23 12:16,Permit,Authorizations - North Region,Minor,56.156,120.667,Internal Amendment,EM General,Medium,,,,,,,49,
Authorization Amendment,356062,416,Approved,,2017-01-04,2017-01-04 8:55,2019-03-20 10:54,Permit,Mining Team,Minor,52.531,122.286,,Routine,Complex,0,43.2,479.9,0,280.3,,803,
Authorization Amendment,356072,7550,Approved,,2017-01-04,2017-01-04 11:59,2017-05-31 9:52,Permit,Authorizations - South Region,Minor,49.1715,122.2449,Internal Amendment,EM General,Medium,,,,,,,146,
Registration Amendment,356076,108585,Completed,,2017-01-04,2017-01-04 13:07,2017-01-04 13:25,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,Minor,55.772334,120.284411,,Express,Simple,0,0,,,0,,0,
Authorization Amendment,356077,1643,Approved,,2017-01-04,2017-01-04 13:23,2017-06-08 11:14,Permit,Authorizations - South Region,Minor,50.7214,120.5215,Internal Amendment,EM General,Medium,,,,,,,154,
Registration Amendment,356103,106131,Completed,,2016-04-26,2017-01-05 9:23,2017-01-05 9:45,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,56.79,122.29,,Express,Simple,254,0,,,0,,254,
Registration Amendment,356111,104080,Completed,,2016-10-25,2017-01-05 11:50,2017-01-06 12:42,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,Minor,50.187974,114.879442,Internal Amendment,EM General,Simple,,,,,,,72,
Registration Amendment,356114,106861,Completed,,2016-10-25,2017-01-05 13:45,2017-01-06 11:30,Petroleum Storage and Distribution Facilities Storm Water Regulation,Express Transactions,Minor,49.731054,114.853628,Internal Amendment,EM General,Simple,,,,,,,72,
Authorization Amendment,356140,2557,Approved,,2017-01-06,2017-01-06 10:55,2017-02-23 11:03,Permit,Authorizations - North Region,Minor,53.9499,122.6291,Internal Amendment,EM General,Medium,,,,,,,46,
Registration Amendment,356145,16655,Completed,,2017-01-06,2017-01-06 12:26,2017-01-06 12:41,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,57.68575,122.105046,,Express,Simple,0,0,,,0,,0,
Authorization Amendment,356153,3804,Approved,,2017-01-06,2017-01-06 13:32,2017-06-05 10:57,Permit,Authorizations - South Region,Minor,49.232357,122.009547,Internal Amendment,EM General,Medium,,,,,,,145,
Authorization Amendment,356154,5335,Approved,,2017-01-06,2017-01-06 13:55,2017-05-08 15:20,Permit,Authorizations - North Region,Minor,53.01025,122.8077777,,Routine,Medium,0,6,76.8,0,36.2,,119,
Authorization Amendment,356155,6412,Approved,,2017-01-06,2017-01-06 14:47,2017-06-01 8:47,Permit,Authorizations - South Region,Minor,50.005,123.1298,Internal Amendment,EM General,Medium,,,,,,,145,
Authorization Amendment,356157,100138,Approved,,2017-01-06,2017-01-06 15:49,2017-02-07 14:03,Permit,Authorizations - North Region,Minor,54.01433,128.701647,Internal Amendment,EM General,Medium,,,,,,,25,
New Registration,356201,108707,Completed,,2017-01-09,2017-01-09 9:02,2017-01-09 9:06,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,,57.03125,121.478125,,Express,Simple,0,0,,,0,,0,
Authorization Amendment,356215,1654,Approved,,2017-01-09,2017-01-09 14:57,2017-02-23 10:52,Permit,Authorizations - North Region,Minor,53.820597,122.876602,Internal Amendment,EM General,Medium,,,,,,,43,
De-Registration,356224,17180,Completed,,2017-01-10 8:37,2017-01-10 8:37,2017-01-10 14:07,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,,,,,Express,Simple,0,,,,,0.2,0.2,
New Authorization,356250,108711,Approved,,2017-01-11,2017-01-11 8:41,2017-04-28 15:04,Approval,Oil & Gas Commission,,55.887721,120.080337,,Routine,Simple,0,9.1,0,0,0.1,,9,
Authorization Amendment,356264,5132,Approved,,2017-01-11,2017-01-11 13:04,2017-02-23 11:17,Permit,Authorizations - North Region,Minor,53.8808,122.7553,Internal Amendment,EM General,Medium,,,,,,,41,
Authorization Amendment,356266,5431,Approved,,2017-01-11,2017-01-11 14:18,2017-05-31 16:01,Permit,Authorizations - South Region,Minor,49.068861,122.535785,Internal Amendment,EM General,Medium,,,,,,,140,
Registration Amendment,356267,106467,Completed,,2017-01-18,2017-01-11 14:41,2017-04-04 8:56,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Express Transactions,Minor,49.230081,122.879367,,Express,Simple,2.4,,,,,73.2,75,
Registration Amendment,356282,16258,Completed,,2016-11-22,2017-01-12 8:25,2017-01-12 8:48,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,Minor,59.324438,120.276844,Transfer,EM General,Simple,,,,,,,51,
Authorization Amendment,356290,1733,Approved,,2017-01-12,2017-01-12 13:06,2018-01-22 9:43,Permit,Express Transactions,Minor,49.645253,115.952719,Transfer,EM General,Simple,,,,,,,372,
New Registration,356291,108713,Completed,,2016-11-25,2017-01-12 13:42,2017-01-20 14:24,Oil & Gas Waste Regulation (Facility Registration),Express Transactions,,56.153283,121.048555,,Express,Simple,48,0,,,0,,48,
Authorization Amendment,356292,13756,Approved,,2017-01-12,2017-01-12 13:43,2017-01-26 14:15,Permit,Mining Team,Minor,59.241202,129.670314,Internal Amendment,EM General,Medium,,,,,,,13,
De-Registration,356300,106076,Completed,,2017-01-12 13:56,2017-01-12 13:56,2017-02-01 13:35,Oil & Gas Waste Regulation (Facility Registration),Oil & Gas Commission,,,,,Express,Medium,4.4,,,,,8,20,
